title,city,address,phone,textTranslated,publishedAtDate
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,,2026-07-11T01:59:15.619Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,Pas de service 👍,2026-07-10T14:22:43.427Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,"Il nous faut des années-lumière pour devenir comme les autres ; si nous continuons à tolérer ce système, nous resterons toujours très en retard.",2026-07-09T11:26:26.293Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,La preuve parfaite que notre pays régresse.,2026-07-09T11:20:18.999Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,,2026-06-29T11:41:33.040Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,"Même les plus motivés ne veulent pas travailler. Où que j'aille, je ne trouve personne à qui parler.",2026-06-23T13:10:18.045Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,Toujours à plat 👎🏽👎🏽,2026-06-10T10:26:01.825Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,Bzaf dyal z7am ou ri caisse w7da li kayna,2026-05-25T13:06:05.404Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,"Franchement, vous ne méritez même pas une étoile. Le service est inexistant. Y a-t-il une pause à 14h30 et la fermeture est à 15h30 ? Il n'y a absolument aucun employé et c'est bondé. Le service est inexistant et toute la banque n'a qu'une seule employée, dont l'attitude est exaspérante.",2026-05-14T13:24:25.273Z
CIH banque,Marrakech,"Residence Amine, Bd Prince Moulay Abdellah, Marrakesh 40000, Maroc",+212522479479,,2026-05-10T11:04:23.014Z
