title,city,address,phone,textTranslated,publishedAtDate
CIH Bank Agence Maarif,Casablanca,"123 Rue Maarif, Casablanca 20100",0522123456,Service rapide et personnel très aimable. Je recommande cette agence.,2025-11-15T10:30:00.000Z
CIH Bank Agence Maarif,Casablanca,"123 Rue Maarif, Casablanca 20100",0522123456,Trop d'attente pour une simple opération. Il faut améliorer la gestion des files.,2025-12-03T14:20:00.000Z
CIH Bank Agence Maarif,Casablanca,"123 Rue Maarif, Casablanca 20100",0522123456,Agence propre et bien organisée. Le conseiller était très professionnel.,2026-01-20T09:15:00.000Z
CIH Bank Agence Maarif,Casablanca,"123 Rue Maarif, Casablanca 20100",0522123456,Expérience catastrophique. Personne ne savait répondre à ma question.,2026-02-10T16:45:00.000Z
CIH Bank Agence Hay Hassani,Casablanca,"45 Boulevard Hay Hassani, Casablanca 20200",0522654321,Bonne agence dans l'ensemble. Le directeur est à l'écoute des clients.,2025-10-05T11:00:00.000Z
CIH Bank Agence Hay Hassani,Casablanca,"45 Boulevard Hay Hassani, Casablanca 20200",0522654321,Je suis client depuis 5 ans et le service se dégrade de plus en plus.,2025-11-22T08:30:00.000Z
CIH Bank Agence Hay Hassani,Casablanca,"45 Boulevard Hay Hassani, Casablanca 20200",0522654321,Ouverture de compte rapide et sans complications. Très satisfait.,2026-01-08T13:00:00.000Z
CIH Bank Agence Guéliz,Marrakech,"78 Avenue Mohammed V, Guéliz, Marrakech 40000",0524789012,Agence moderne avec un bon accueil. Les conseillers sont compétents.,2025-09-18T10:00:00.000Z
CIH Bank Agence Guéliz,Marrakech,"78 Avenue Mohammed V, Guéliz, Marrakech 40000",0524789012,Impossible de joindre l'agence par téléphone. Très frustrant.,2025-12-14T15:30:00.000Z
CIH Bank Agence Guéliz,Marrakech,"78 Avenue Mohammed V, Guéliz, Marrakech 40000",0524789012,Le GAB est souvent en panne. C'est le seul point négatif.,2026-02-28T17:00:00.000Z
CIH Bank Agence Agdal,Rabat,"15 Avenue de France, Agdal, Rabat 10000",0537456789,Très bonne agence. Rapide et efficace pour les virements internationaux.,2025-10-30T09:45:00.000Z
CIH Bank Agence Agdal,Rabat,"15 Avenue de France, Agdal, Rabat 10000",0537456789,Personnel souriant et accueillant. Dommage que les horaires soient limités.,2026-01-15T12:00:00.000Z
CIH Bank Agence Agdal,Rabat,"15 Avenue de France, Agdal, Rabat 10000",0537456789,J'ai attendu plus d'une heure pour un simple retrait. Inadmissible.,2026-03-05T14:30:00.000Z
CIH Bank Agence Tanger Centre,Tanger,"22 Rue de la Liberté, Tanger 90000",0539321654,Excellente agence avec un service client irréprochable. Bravo à l'équipe.,2025-11-01T10:15:00.000Z
CIH Bank Agence Tanger Centre,Tanger,"22 Rue de la Liberté, Tanger 90000",0539321654,L'application mobile est top mais l'agence physique manque de personnel.,2026-01-25T11:30:00.000Z
CIH Bank Agence Tanger Centre,Tanger,"22 Rue de la Liberté, Tanger 90000",0539321654,Service moyen. Rien d'exceptionnel mais rien de mauvais non plus.,2026-03-12T16:00:00.000Z
Guichet CIH Bank,Agadir,"9FQQ+RPM, Agadir 80000, Maroc",,,2025-12-16T13:47:39.711Z
Guichet CIH Bank,Agadir,"9FQQ+RPM, Agadir 80000, Maroc",,"ATTENTION aux distributeurs automatiques CIH !

L'écran n'affiche pas l'option « Retrait ». Elle est uniquement disponible dans un sous-menu. C'est pourquoi j'ai annulé la transaction. Un Marocain m'a expliqué la procédure et j'ai réessayé. Cette fois, ça a fonctionné. Mais mon compte a été débité deux fois ! La banque CIH locale se dégage de toute responsabilité ! Il s'agit soit d'un cas de négligence, soit d'une escroquerie !",2025-07-21T11:04:01.341Z
Guichet CIH Bank,Agadir,"9FQQ+RPM, Agadir 80000, Maroc",,,2024-09-08T11:59:33.261Z
Guichet CIH Bank,Agadir,"9FQQ+RPM, Agadir 80000, Maroc",,,2022-08-26T16:56:22.740Z
Guichet CIH Bank,Agadir,"9FQQ+RPM, Agadir 80000, Maroc",,,2022-05-17T12:34:23.912Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2026-06-04T12:28:54.022Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2026-05-19T14:16:47.334Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2026-05-02T07:32:09.636Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2026-02-27T13:24:29.820Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2025-11-02T12:43:26.216Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2025-07-02T13:58:56.735Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2024-12-06T13:22:10.342Z
CIH Banque,Rabat,"KM 3, Avenue Mohamed VI, 5 Rue du Rif, Rabat 10000, Maroc",+212522479479,,2024-10-11T02:45:43.017Z
